Make,Colour,Odometer (KM),Doors,Seats,Fuel Milage,Total Fuel Used,Price
Honda,White,35431.0,4.0,5,5.38,6585.69,15323.0
BMW,Blue,192714.0,5.0,5,3.89,49540.87,19943.0
Honda,White,84714.0,4.0,5,3.72,22772.58,28343.0
Toyota,White,154365.0,4.0,5,4.28,36066.59,13434.0
Nissan,Blue,181577.0,3.0,5,4.49,40440.31,14043.0
Honda,Red,42652.0,4.0,5,4.23,10083.22,23883.0
Toyota,Blue,163453.0,4.0,5,5.51,29664.79,8473.0
Honda,White,131958.99,4.0,5,5.73,23029.49,20306.0
Honda,Blue,51029.0,4.0,5,4.3,11867.21,26683.0
Nissan,White,167421.0,4.0,5,4.79,34952.19,16259.0
Nissan,Green,17119.0,4.0,5,5.69,3008.61,6160.0
Nissan,White,102303.0,4.0,5,5.94,17222.73,16909.0
Honda,Blue,199833.0,4.0,5,5.41,36937.71,18946.0
Toyota,Blue,205592.0,4.0,5,3.01,68302.99,16290.0
Toyota,Red,96742.0,4.0,5,3.35,28878.21,34465.0
BMW,White,194189.0,5.0,5,5.3,36639.43,17177.0
Nissan,White,67991.0,3.0,5,5.14,13227.82,9109.0
Nissan,Blue,215820.0,4.0,5,5.91,36517.77,6010.0
Toyota,White,124844.0,4.0,5,3.51,35568.09,24130.0
Honda,White,30615.0,4.0,5,5.79,5287.56,29653.0
Toyota,White,148744.0,4.0,5,5.16,28826.36,22489.0
Honda,Green,130075.0,4.0,5,5.76,22582.47,21242.0
Honda,Blue,172718.0,4.0,5,3.63,47580.72,14274.0
Honda,Blue,125819.0,4.0,5,3.67,34283.11,15686.0
Honda,White,180390.0,4.0,5,5.58,32327.96,13344.0
Honda,Green,82783.0,4.0,5,4.52,18314.82,10984.0
Honda,White,56687.0,4.0,5,3.16,17938.92,6135.0
Toyota,White,112004.0,4.0,5,4.07,27519.41,13586.0
Nissan,Blue,34024.0,4.0,5,3.66,9296.17,23929.0
Toyota,White,108569.0,5.0,5,3.6,30158.06,6866.0
Nissan,White,203795.0,4.0,5,4.0,50948.75,9330.0
Nissan,Green,153554.0,3.0,5,3.14,48902.55,9780.0
Honda,Blue,71949.0,4.0,5,4.11,17505.84,17516.0
